section,description,unitPrice,unitPriceNumber,exampleFile,row
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Silverado Elite Tracking Vehicle,755.00,755.0,Horse Rig 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Fuller Body Spring Operated,600.00,600.0,Horse Rig 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Basic Riggers Scaffolding Kit,95.00,95.0,Horse Rig 2026.xls,19
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pre-Rigging & Additional Equipment,,,Horse Rig 2026.xls,20
Labour Rates - Daily Rates - 2 Man Crew,To Services of Driver/Technician per 10hr Day Cont. Day (Call to Wrap) - Inclusive of Stand By Days,585.00,585.0,Horse Rig 2026.xls,24
Labour Rates - Daily Rates - 2 Man Crew,Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00),87.75,87.75,Horse Rig 2026.xls,25
Labour Rates - Daily Rates - 2 Man Crew,Sunday and Bank Holiday Work charged at Double Time,585.00,585.0,Horse Rig 2026.xls,26
Labour Rates - Daily Rates - 2 Man Crew,Turnaround Day After Night Work Chargeable from 23:59,585.00,585.0,Horse Rig 2026.xls,27
Labour Rates - Daily Rates - 2 Man Crew,Supplementary charge for Late Working between 22:00 & 23:59,292.50,292.5,Horse Rig 2026.xls,28
Labour Rates - Daily Rates - 2 Man Crew,Supplementary charge applies for Saturday working,292.50,292.5,Horse Rig 2026.xls,29
Labour Rates - Daily Rates - 2 Man Crew,"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",585.00,585.0,Horse Rig 2026.xls,30
Labour Rates - Daily Rates - 2 Man Crew,Recce Charge per man,585.00,585.0,Horse Rig 2026.xls,31
Travel Charges,Transport Vehicle,175.00,175.0,Horse Rig 2026.xls,34
Travel Charges,Transport Mileage,1.55,1.55,Horse Rig 2026.xls,35
Travel Charges,Tracking Vehicle and Crew Travel Days,585.00,585.0,Horse Rig 2026.xls,36
Travel Charges,Tracking Vehicle and Crew Travel Time,58.50,58.5,Horse Rig 2026.xls,37
Travel Charges,Enroute Hotels,TBC,,Horse Rig 2026.xls,38
Travel Charges,Ferry & GMR,TBC,,Horse Rig 2026.xls,39
Travel Charges,Overnight Meal Allowance,35.00,35.0,Horse Rig 2026.xls,41
Travel Charges,Breakfast/Lunch not Supplied on location per man,22.00,22.0,Horse Rig 2026.xls,43
