"file","sheet","row","section","description","qty","unitPrice","total","totalFormula","qtyFormula","unitPriceFormula","isSectionOrHeader"
"Horse Rig 2026.xls","Bickers Action Quote","10","Fuller Body Horse Rig","DESCRIPTION","QTY","UNIT PRICE","TOTAL","","","","True"
"Horse Rig 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"Horse Rig 2026.xls","Bickers Action Quote","13","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Silverado Elite Tracking Vehicle","","755.00","-","=E13*F13","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Fuller Body Spring Operated","","600.00","-","=E14*F14","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","16","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","17","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","18","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","19","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Basic Riggers Scaffolding  Kit","","95.00","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","20","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pre-Rigging & Additional Equipment","","","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","21","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment Discount","Less","0.0%","-","=SUM(G13:G19)*F21","","","True"
"Horse Rig 2026.xls","Bickers Action Quote","23","Labour Rates - Daily Rates - 2 Man Crew","Labour Rates - Daily Rates - 2 Man Crew","","","","","","","True"
"Horse Rig 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates - 2 Man Crew","To Services of Driver/Technician per 10hr Day Cont. Day (Call to Wrap) - Inclusive of Stand By Days","","585.00","-","=E24*F24","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates - 2 Man Crew","Overtime Charged @ 1.5T  (Inc. Pre-Calls & Call Times Prior to 07:00)","","87.75","TBC","","","","False"
"Horse Rig 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates - 2 Man Crew","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
